id,original_filename,format,media_type,byte_size,pages,domain,tables,formulas,images,callouts,chapters,notes
001,java-oo-3pgs.pdf,pdf,application/pdf,193244,3,programação,0,0,2,1,3,"Tutorial Java OO — 3 páginas"
002,java-oo-369pgs.pdf,pdf,application/pdf,10429830,369,programação,5,0,30,10,20,"Tutorial Java OO completo — 369 páginas"
003,java-oo-caps-9-11-39pgs.pdf,pdf,application/pdf,978279,39,programação,2,0,8,3,3,"Capítulos 9-11 do tutorial Java OO"
004,java-oo-tables-pg26.pdf,pdf,application/pdf,358314,1,programação,1,0,0,0,0,"Página 26 — tabelas de exemplo"
005,sunset-skyline.jpeg,image,image/jpeg,130493,1,geral,0,0,1,0,0,"Fotografia — pôr do sol"
006,grandezas-e-medidas-42pgs.pdf,pdf,application/pdf,2260430,42,matemática,3,5,15,2,8,"Apostila de grandezas e medidas — 42 páginas"
007,grandezas-e-medidas-pg3-42.pdf,pdf,application/pdf,648946,1,matemática,0,1,2,0,0,"Página 3 — fórmulas e imagens"
008,grandezas-e-medidas-pg7-42.pdf,pdf,application/pdf,642162,1,matemática,1,0,1,0,0,"Página 7 — tabela e imagem"
